index,timestamp_sec,latitude,longitude,altitude
65,1729151755.7715638,52.4674348,12.958837899999999,85.008
66,1729151757.0276449,52.467433799999995,12.9588305,85.012
67,1729151758.2745755,52.467433,12.9588231,85.008
68,1729151759.519188,52.4674324,12.9588156,84.985
69,1729151760.771415,52.4674319,12.958808099999999,84.976
70,1729151762.028815,52.4674311,12.958800499999999,84.967
71,1729151763.274475,52.467430099999994,12.958793,84.952
72,1729151764.5238676,52.4674293,12.958785599999999,84.949
73,1729151765.7727864,52.4674287,12.9587782,84.943
74,1729151767.024395,52.467428,12.9587706,84.931
75,1729151768.2753315,52.467427199999996,12.958763099999999,84.926
76,1729151769.5231555,52.4674264,12.9587554,84.887
77,1729151770.7716694,52.4674255,12.9587481,84.895
78,1729151772.031564,52.4674249,12.958740599999999,84.873
79,1729151773.2699606,52.467424199999996,12.9587331,84.871
80,1729151774.5247722,52.4674233,12.958725699999999,84.865
81,1729151775.7755919,52.4674225,12.958718099999999,84.84700000000001
82,1729151777.030448,52.4674219,12.958710199999999,84.792
83,1729151778.405689,52.4674212,12.9587021,84.781
84,1729151779.650774,52.4674202,12.958694699999999,84.783
85,1729151780.9022474,52.467419299999996,12.958687099999999,84.76
86,1729151782.1528163,52.4674188,12.958679499999999,84.726
87,1729151783.401262,52.467417999999995,12.958672,84.70400000000001
88,1729151784.648962,52.4674173,12.958664599999999,84.684
89,1729151785.8921309,52.4674165,12.9586571,84.664
90,1729151787.149972,52.467415599999995,12.9586496,84.633
91,1729151788.4037342,52.467414899999994,12.958642,84.618
92,1729151789.6491299,52.4674142,12.958634499999999,84.599
93,1729151790.9001155,52.4674135,12.9586271,84.574
94,1729151792.1535432,52.4674128,12.958619599999999,84.561
95,1729151793.4010181,52.467411899999995,12.9586122,84.551
96,1729151794.6492121,52.4674111,12.9586045,84.515
97,1729151795.9016006,52.4674103,12.9585972,84.502
98,1729151797.153173,52.4674097,12.958589799999999,84.491
99,1729151798.4037573,52.467408999999996,12.9585821,84.47200000000001
100,1729151799.6521895,52.467408199999994,12.9585745,84.44200000000001
101,1729151800.8989103,52.4674074,12.958566999999999,84.435
102,1729151802.1473079,52.467406499999996,12.9585595,84.411
103,1729151803.3971722,52.467405799999995,12.958552,84.385
104,1729151804.647513,52.467405199999995,12.9585444,84.35600000000001
105,1729151805.8952894,52.4674044,12.958537,84.34700000000001
106,1729151807.1477892,52.4674037,12.958529599999999,84.336
107,1729151808.3907926,52.467402799999995,12.9585219,84.308
108,1729151809.646527,52.4674021,12.9585145,84.292
109,1729151811.0273035,52.4674013,12.9585066,84.291
110,1729151812.1516716,52.4674005,12.9584993,84.261
111,1729151813.3988657,52.4673999,12.9584919,84.253
112,1729151814.6463263,52.467399199999996,12.958484499999999,84.226
113,1729151815.8949099,52.4673983,12.958477,84.205
114,1729151817.1488717,52.4673975,12.9584695,84.184
115,1729151818.4017825,52.467396799999996,12.9584618,84.14
116,1729151819.6458988,52.467396,12.958454399999999,84.156
117,1729151820.8967967,52.4673952,12.9584469,84.132
118,1729151822.1510098,52.4673945,12.9584394,84.126
119,1729151823.399226,52.467393799999996,12.958431899999999,84.104
120,1729151824.6458716,52.467392999999994,12.9584244,84.062
121,1729151825.8977234,52.4673922,12.9584169,84.052
122,1729151827.1476169,52.4673915,12.9584093,84.032
123,1729151828.395683,52.4673908,12.9584017,84.017
124,1729151829.6487737,52.467389999999995,12.9583944,84.0
125,1729151830.8891933,52.4673892,12.958387,83.986
126,1729151832.1508634,52.4673885,12.9583792,83.95100000000001
127,1729151833.404841,52.467387699999996,12.9583718,83.918
128,1729151834.6479394,52.4673869,12.958364399999999,83.919
129,1729151835.9005022,52.4673861,12.958356799999999,83.877
130,1729151837.272399,52.4673855,12.9583487,83.859
131,1729151838.5234706,52.4673849,12.9583408,83.833
132,1729151839.7726505,52.467383999999996,12.9583335,83.828
133,1729151841.0299258,52.4673829,12.958326099999999,83.819
134,1729151842.2750077,52.467382099999995,12.958318499999999,83.781
135,1729151843.6633716,52.467381499999995,12.958310599999999,83.785
136,1729151844.9011157,52.467380899999995,12.958302999999999,83.769
137,1729151846.1552668,52.4673801,12.9582949,83.718
138,1729151847.5263295,52.467379199999996,12.9582872,83.71600000000001
139,1729151848.7732034,52.4673783,12.9582795,83.68900000000001
140,1729151850.03666,52.4673776,12.9582721,83.674
141,1729151851.2790031,52.4673768,12.9582648,83.676
142,1729151852.5221334,52.467376099999996,12.9582572,83.656
143,1729151853.7792165,52.4673756,12.9582496,83.627
144,1729151855.0348208,52.467374799999995,12.958242199999999,83.623
145,1729151856.2799277,52.4673739,12.9582347,83.608
146,1729151857.5300102,52.467373099999996,12.9582269,83.578
147,1729151858.9017956,52.4673721,12.958218899999999,83.557
148,1729151860.278569,52.467371299999996,12.9582108,83.56
149,1729151861.5254507,52.4673707,12.958203,83.532
150,1729151862.776643,52.4673702,12.9581956,83.517
151,1729151864.0385711,52.4673692,12.958188,83.495
152,1729151865.2809045,52.467368199999996,12.9581805,83.461
153,1729151866.5312135,52.467367599999996,12.9581731,83.44500000000001
154,1729151867.7766032,52.467366999999996,12.9581656,83.427
155,1729151869.0416458,52.4673665,12.9581582,83.43900000000001
156,1729151870.287151,52.4673654,12.958150499999999,83.401
157,1729151871.5421417,52.4673644,12.9581428,83.37
158,1729151875.1561885,52.467363999999996,12.958139099999999,83.308
